beta,eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,prev_Ash,prev_Asl,kappa,notifiedprev
0.336403249,0.355441813,0.844143484,0.092453749,263.0083805,2.214641879,0.185890372,57.98405109,124.7784904,0.045673052,0.00872479,1,0.38
0.387381922,0.336499089,0.839011167,0.874340019,191.7791755,3.118663577,0.153851854,54.53292965,83.21203137,0.043378301,0.008898482,1,0.38
0.352344551,0.366389993,0.649350234,0.529102234,284.1419975,2.209081428,0.17169415,44.93593372,61.04269223,0.096412675,0.007284159,1,0.38
0.33793273,0.320416947,0.586295924,0.596669866,151.7327126,2.35974601,0.151476904,54.32837282,66.01550991,0.062574293,0.002892993,1,0.38
0.653611415,0.338000427,0.702417917,0.506096436,248.9119024,5.324255616,0.08489043,55.96601689,116.5427485,0.066220109,0.002395703,1,0.38
0.424429681,0.33864175,0.885860975,0.321676474,158.8459377,3.387478528,0.140497861,60.75428862,85.10832938,0.05768424,0.007723885,1,0.38
0.311335235,0.311493311,0.953831973,0.959810527,246.3662216,2.082561129,0.212152516,53.58340582,88.71120741,0.05320826,0.00999305,1,0.38
0.290944472,0.387613128,0.766937774,0.889413157,222.7791118,1.989285562,0.197973642,57.1440214,94.85332582,0.064080685,0.008665316,1,0.38
0.449763787,0.40537546,0.578835411,0.854523907,256.7033028,3.237810595,0.116165515,50.03978624,73.9904793,0.080446544,0.005154782,1,0.38
0.349039806,0.295008631,1.097619481,0.982402405,155.8385507,2.56639846,0.215361422,59.04879855,84.11729386,0.036124011,0.009427014,1,0.38
0.663745093,0.36362255,0.421722416,0.176406856,131.0905963,4.780617886,0.07234972,58.22765083,107.9495837,0.094129659,0.000522102,1,0.38
0.541239676,0.38521494,0.432888174,0.698105363,152.9597673,3.751159273,0.086502849,51.41128725,94.78165069,0.087190067,0.003146525,1,0.38
0.305242576,0.464922564,0.577676621,0.855310961,192.1573993,2.060837792,0.1588087,57.18121095,62.05357347,0.075501312,0.009490749,1,0.38
0.471111712,0.390441934,0.579382154,0.366389364,167.4115085,3.273912169,0.106902564,62.80198933,77.78963801,0.071800196,0.003628583,1,0.38
0.38549597,0.31630907,1.038000146,0.797987091,425.6212925,2.816540919,0.185539122,48.38473175,80.09276833,0.0592571,0.005178653,1,0.38
0.287393369,0.344808393,0.526537608,0.191321529,283.0171192,1.56680679,0.194873002,57.84959683,97.88711388,0.087970779,0.003035321,1,0.38
0.39680104,0.364496883,0.527294767,0.506004544,212.7282625,2.391563776,0.135765137,54.83995926,120.1958456,0.079141555,0.008971405,1,0.38
0.514391136,0.356949119,0.808213675,0.446406181,241.5545494,4.076814231,0.112653681,65.41633872,88.65862079,0.055941608,0.005131338,1,0.38
0.404830994,0.341666093,0.683691034,0.893283066,270.5997111,3.089755002,0.135174321,49.81271089,96.40872379,0.070277568,0.007747371,1,0.38
0.464791902,0.217953465,1.456911495,0.994915894,124.6860766,3.456072108,0.22922463,54.19704797,93.20292572,0.03617988,0.004416626,1,0.38
0.421486863,0.327018868,1.053029474,0.65253334,311.3794203,3.208210469,0.164501591,52.69826945,106.33135,0.050471562,0.009444301,1,0.38
0.452812576,0.387398698,0.757094652,0.72256624,96.52861937,3.765359874,0.123842253,73.68398623,132.3715411,0.032655087,0.008589632,1,0.38
0.356517503,0.377211124,0.421430322,0.702970156,127.7558553,2.084773978,0.126085148,49.159686,86.5419668,0.071704527,0.007438861,1,0.38
0.275105702,0.424714055,0.497656617,0.943554628,93.56240945,1.770803064,0.163113689,51.864668,70.29860042,0.076684783,0.008949418,1,0.38
